"Félév","Pedagógia szakas","Tantárgy","Műveltségterület","Tanulási Eredmény","",""
"1","9-10","KULT","Dráma és tánc","Növekvő intenzitással és mélységgel vesznek részt szerepjátékokban, csoportos improvizációkban.","",""
"1","1-2","KULT","Ének-zene﻿  b változat","Kreatívan vesznek részt a generatív játékokban és feladatokban. Érzik az egyenletes lüktetést, tartják a tempót, érzékelik a tempóváltozást. A 2/4-es metrumot helyesen hangsúlyozzák.","",""
"1","1-2","KULT","Ének-zene﻿  b változat","Képesek társaikkal együtt figyelmesen zenét hallgatni. Megfigyelésekkel tapasztalatokat szereznek, melyek az egyszerű zenei elemzés alapjául szolgálnak. Különbséget tesznek az eltérő zenei karakterek között.","",""
"1","1-2","Harmónia","Erkölcstan","A tanuló életkorának megfelelő reális képpel rendelkezik saját külső tulajdonságairól, tisztában van legfontosabb személyi adataival.","",""
"1","1-2","Harmónia","Erkölcstan","Érzi a szeretetkapcsolatok fontosságát.","",""
"1","1-2","Harmónia","Erkölcstan","Meg tudja különböztetni egymástól a valóságos és a virtuális világot.","",""
"1","3-4","Harmónia","Erkölcstan","A tanulónak életkorának megfelelő szinten reális képe van saját külső és belső tulajdonságairól, és késztetést érez arra, hogy fejlessze önmagát.","",""
"1","3-4","Harmónia","Erkölcstan","Érti, hogy mi a jelentősége a szabályoknak a közösségek életében, kész a megértett szabályok betartására, részt tud venni szabályok kialakításában.","",""
"1","3-4","Harmónia","Erkölcstan","Képes a körülötte zajló eseményekre és a különféle helyzetekre a sajátjától eltérő nézőpontból is rátekinteni.","",""
"1","5-6","Harmónia","Erkölcstan","A tanuló tisztában van az egészség megőrzésének jelentőségével, és tudja, hogy maga is felelős ezért.","",""
"1","7-8","Harmónia","Erkölcstan","Életkorának megfelelő szinten ismeri önmagát, hosszabb távú elképzeléseinek kialakításakor képes reálisan felmérni a lehetőségeit.","",""
"1","7-8","Harmónia","Erkölcstan","Tisztában van vele, hogy baráti- és párkapcsolataiban felelősséggel tartozik a társaiért.","",""
"1","7-8","Harmónia","Erkölcstan","Képes megfogalmazni, hogy mi okoz neki örömet, illetve rossz érzést.","",""
"1","9-10","STEM","Fizika","A kísérletezési, mérési kompetencia, a megfigyelő, rendszerező készség fejlődése.","",""
"1","11-12","STEM","Fizika","A csillagászati alapismeretek felhasználásával Földünk elhelyezése az Univerzumban, szemléletes kép az Univerzum térbeli, időbeli méreteiről.","",""
"1","7-8","STEM","Fizika b változat","A tanuló használja a számítógépet adatrögzítésre, információgyűjtésre.","",""
"1","7-8","STEM","Földrajz","Ismerjék fel a földrajzi övezetesség kialakulásában megnyilvánuló összefüggéseket és törtvényszerűségeket. Legyenek képesek alapvető összefüggések, tendenciák felismerésére és megfogalmazására az egyes földrészekre vagy országcsoportokra, tájakra jellemző természeti jelenségekkel, társadalmi-gazdasági folyamatokkal kapcsolatban, ismerjék fel az egyes országok, országcsoportok helyét a világ társadalmi-gazdasági folyamataiban. Érzékeljék az egyes térségek, országok társadalmi-gazdasági adottságai jelentőségének időbeli változásait. Ismerjék fel a globalizáció érvényesülését regionális példákban. Ismerjék hazánk társadalmi-gazdasági fejlődésének jellemzőit összefüggésben a természeti erőforrásokkal. Értsék, hogy a hazai gazdasági, társadalmi és környezeti folyamatok világméretű vagy regionális folyamatokkal függenek össze.","",""
"1","5-6","KULT","Hon- és népismeret","A tanulók megismerik lakóhelyük, szülőföldjük természeti adottságait, hagyományos gazdasági tevékenységeit, néprajzi jellemzőit, történetének nevezetesebb eseményeit, jeles személyeit. A tanulási folyamatban kialakul az egyéni, családi, közösségi, nemzeti azonosságtudatuk.","",""
"1","5-6","KULT","Hon- és népismeret","Általános képet kapnak a hagyományos gazdálkodó életmód fontosabb területeiről, a család felépítéséről, a családon belüli munkamegosztásról. A megszerzett ismeretek birtokában képesek lesznek értelmezni a más tantárgyakban felmerülő népismereti tartalmakat.","",""
"1","7-8","STEM","Kémia  b változat","A tanuló ismerje a kémia egyszerűbb alapfogalmait (atom, kémiai és fizikai változás, elem, vegyület, keverék, halmazállapot, molekula, anyagmennyiség, tömegszázalék, kémiai egyenlet, égés, oxidáció, redukció, sav, lúg, kémhatás), alaptörvényeit, vizsgálati céljait, módszereit és kísérleti eszközeit, a mérgező anyagok jelzéseit.","",""
"1","7-8","STEM","Kémia  b változat","Ismerje néhány, a hétköznapi élet szempontjából jelentős szervetlen és szerves vegyület tulajdonságait, egyszerűbb esetben ezen anyagok előállítását és a mindennapokban előforduló anyagok biztonságos felhasználásának módjait.","",""
"1","7-8","STEM","Kémia  b változat","Tudjon egy kémiával kapcsolatos témáról önállóan vagy csoportban dolgozva információt keresni, és tudja ennek eredményét másoknak változatos módszerekkel, az infokommunikációs technológia eszközeit is alkalmazva bemutatni.","",""
"1","7-8","STEM","Kémia  b változat","Alkalmazza a megismert törvényszerűségeket egyszerűbb, a hétköznapi élethez is kapcsolódó problémák, kémiai számítási feladatok megoldása során, illetve gyakorlati szempontból jelentős kémiai reakciók egyenleteinek leírásában.","",""
"1","1-2","STEM","Környezetismeret","Az élővilág sokféleségének tisztelete, a természetvédelem fontosságának felismerése.","",""
"1","1-2","KULT","Magyar nyelv és irodalom","A tanuló érthetően beszéljen, legyen tisztában a szóbeli kommunikáció alapvető szabályaival, alkalmazza őket.","",""
"1","1-2","KULT","Magyar nyelv és irodalom","Értse meg az egyszerű magyarázatokat, utasításokat és társai közléseit.","",""
"1","3-4","KULT","Magyar nyelv és irodalom","Tanulási tevékenységét fokozatosan növekvő időtartamban legyen képes tudatos figyelemmel irányítani. Feladatainak megoldásához szükség szerint vegye igénybe az iskola könyvtárát. A könyvekben, gyermekújságokban a tartalomjegyzék segítségével igazodjon el. Használja az ismert kézikönyveket.","",""
"1","9-10","KULT","Magyar nyelv és irodalom","Képes memoriterek szöveghű tolmácsolására a szövegfonetikai eszközök helyes alkalmazásával, tudatos szövegmondással.","",""
"1","9-10","KULT","Magyar nyelv és irodalom","Szóbeli és írásbeli kommunikációs helyzetekben megválasztja a megfelelő hangnemet, nyelvváltozatot, stílusréteget. Alkalmazza a művelt köznyelv (regionális köznyelv), illetve a nyelvváltozatok nyelvhelyességi normáit, képes felismerni és értelmezni az attól eltérő nyelvváltozatokat.","",""
"1","9-10","KULT","Magyar nyelv és irodalom","Képes az órai eszmecserékben és az irodalmi művekben megjelenő álláspontok azonosítására, követésére, megvitatására, összehasonlítására, eltérő vélemények megértésére, újrafogalmazására.","",""
"1","11-12","KULT","Magyar nyelv és irodalom","A tanuló rendszeresen használja a könyvtárat, a különféle (pl. informatikai technológiákra épülő) információhordozókat, rendelkezik a képességgel, hogy kellő problémaérzékenységgel, kreativitással és önállósággal igazodjon el az információk világában; értelmesen és értékteremtően tudjon élni az önképzés lehetőségeivel.","",""
"1","11-12","KULT","Magyar nyelv és irodalom","Képes olvasható, rendezett írásra.","",""
"1","11-12","KULT","Magyar nyelv és irodalom","Szóbeli és írásbeli kommunikációs helyzetekben megválasztja a megfelelő hangnemet, nyelvváltozatot, stílusréteget. Alkalmazza a művelt köznyelv (regionális köznyelv), illetve a nyelvváltozatok nyelvhelyességi normáit, képes felismerni és értelmezni az attól eltérő nyelvváltozatokat.","",""
"1","11-12","KULT","Magyar nyelv és irodalom","Alkalmazza az idézés szabályait és etikai normáit.","",""
"1","11-12","KULT","Magyar nyelv és irodalom","Képes memoriterek szöveghű tolmácsolására tudatos, kifejező szövegmondással.","",""
"1","5-6","KULT","Magyar nyelv és irodalom","A tanuló törekszik gondolatait érthetően, a helyzetnek megfelelően megfogalmazni, adekvátan alkalmazni a beszédet kísérő nem nyelvi jeleket. Képes rövidebb szóbeli üzenetek, rövidebb hallott történetek megértésére, összefoglalására, továbbadására.","",""
